A01G23/00,Forestry techniques
A01G25/00,Alternative irrigation techniques
A01H,From genetically engineered organisms
A01N25/00,Pesticide alternatives
A01N25/02,Pesticide alternatives
A01N25/04,Pesticide alternatives
A01N25/06,Pesticide alternatives
A01N25/08,Pesticide alternatives
A01N25/10,Pesticide alternatives
A01N25/12,Pesticide alternatives
A01N25/14,Pesticide alternatives
A01N25/16,Pesticide alternatives
A01N25/18,Pesticide alternatives
A01N25/20,Pesticide alternatives
A01N25/22,Pesticide alternatives
A01N25/24,Pesticide alternatives
A01N25/26,Pesticide alternatives
A01N25/28,Pesticide alternatives
A01N25/30,Pesticide alternatives
A01N25/32,Pesticide alternatives
A01N25/34,Pesticide alternatives
A01N27/00,Pesticide alternatives
A01N29/00,Pesticide alternatives
A01N29/02,Pesticide alternatives
A01N29/04,Pesticide alternatives
A01N29/06,Pesticide alternatives
A01N29/08,Pesticide alternatives
A01N29/10,Pesticide alternatives
A01N29/12,Pesticide alternatives
A01N31/00,Pesticide alternatives
A01N31/02,Pesticide alternatives
A01N31/04,Pesticide alternatives
A01N31/06,Pesticide alternatives
A01N31/08,Pesticide alternatives
A01N31/10,Pesticide alternatives
A01N31/12,Pesticide alternatives
A01N31/14,Pesticide alternatives
A01N31/16,Pesticide alternatives
A01N33/00,Pesticide alternatives
A01N33/02,Pesticide alternatives
A01N33/04,Pesticide alternatives
A01N33/06,Pesticide alternatives
A01N33/08,Pesticide alternatives
A01N33/10,Pesticide alternatives
A01N33/12,Pesticide alternatives
A01N33/14,Pesticide alternatives
A01N33/16,Pesticide alternatives
A01N33/18,Pesticide alternatives
A01N33/20,Pesticide alternatives
A01N33/22,Pesticide alternatives
A01N33/24,Pesticide alternatives
A01N33/26,Pesticide alternatives
A01N35/00,Pesticide alternatives
A01N35/02,Pesticide alternatives
A01N35/04,Pesticide alternatives
A01N35/06,Pesticide alternatives
A01N35/08,Pesticide alternatives
A01N35/10,Pesticide alternatives
A01N37/00,Pesticide alternatives
A01N37/02,Pesticide alternatives
A01N37/04,Pesticide alternatives
A01N37/06,Pesticide alternatives
A01N37/08,Pesticide alternatives
A01N37/10,Pesticide alternatives
A01N37/12,Pesticide alternatives
A01N37/14,Pesticide alternatives
A01N37/16,Pesticide alternatives
A01N37/18,Pesticide alternatives
A01N37/20,Pesticide alternatives
A01N37/22,Pesticide alternatives
A01N37/24,Pesticide alternatives
A01N37/26,Pesticide alternatives
A01N37/28,Pesticide alternatives
A01N37/30,Pesticide alternatives
A01N37/32,Pesticide alternatives
A01N37/34,Pesticide alternatives
A01N37/36,Pesticide alternatives
A01N37/38,Pesticide alternatives
A01N37/40,Pesticide alternatives
A01N37/42,Pesticide alternatives
A01N37/44,Pesticide alternatives
A01N37/46,Pesticide alternatives
A01N37/48,Pesticide alternatives
A01N37/50,Pesticide alternatives
A01N37/52,Pesticide alternatives
A01N39/00,Pesticide alternatives
A01N39/02,Pesticide alternatives
A01N39/04,Pesticide alternatives
A01N41/00,Pesticide alternatives
A01N41/02,Pesticide alternatives
A01N41/04,Pesticide alternatives
A01N41/06,Pesticide alternatives
A01N41/08,Pesticide alternatives
A01N41/10,Pesticide alternatives
A01N41/12,Pesticide alternatives
A01N43/00,Pesticide alternatives
A01N43/02,Pesticide alternatives
A01N43/04,Pesticide alternatives
A01N43/06,Pesticide alternatives
A01N43/08,Pesticide alternatives
A01N43/10,Pesticide alternatives
A01N43/12,Pesticide alternatives
A01N43/14,Pesticide alternatives
A01N43/16,Pesticide alternatives
A01N43/18,Pesticide alternatives
A01N43/20,Pesticide alternatives
A01N43/22,Pesticide alternatives
A01N43/24,Pesticide alternatives
A01N43/26,Pesticide alternatives
A01N43/28,Pesticide alternatives
A01N43/30,Pesticide alternatives
A01N43/32,Pesticide alternatives
A01N43/34,Pesticide alternatives
A01N43/36,Pesticide alternatives
A01N43/38,Pesticide alternatives
A01N43/40,Pesticide alternatives
A01N43/42,Pesticide alternatives
A01N43/44,Pesticide alternatives
A01N43/46,Pesticide alternatives
A01N43/48,Pesticide alternatives
A01N43/50,Pesticide alternatives
A01N43/52,Pesticide alternatives
A01N43/54,Pesticide alternatives
A01N43/56,Pesticide alternatives
A01N43/58,Pesticide alternatives
A01N43/60,Pesticide alternatives
A01N43/62,Pesticide alternatives
A01N43/64,Pesticide alternatives
A01N43/647,Pesticide alternatives
A01N43/653,Pesticide alternatives
A01N43/66,Pesticide alternatives
A01N43/68,Pesticide alternatives
A01N43/70,Pesticide alternatives
A01N43/707,Pesticide alternatives
A01N43/713,Pesticide alternatives
A01N43/72,Pesticide alternatives
A01N43/74,Pesticide alternatives
A01N43/76,Pesticide alternatives
A01N43/78,Pesticide alternatives
A01N43/80,Pesticide alternatives
A01N43/82,Pesticide alternatives
A01N43/824,Pesticide alternatives
A01N43/828,Pesticide alternatives
A01N43/832,Pesticide alternatives
A01N43/836,Pesticide alternatives
A01N43/84,Pesticide alternatives
A01N43/86,Pesticide alternatives
A01N43/88,Pesticide alternatives
A01N43/90,Pesticide alternatives
A01N43/92,Pesticide alternatives
A01N45/00,Pesticide alternatives
A01N45/02,Pesticide alternatives
A01N47/00,Pesticide alternatives
A01N47/02,Pesticide alternatives
A01N47/04,Pesticide alternatives
A01N47/06,Pesticide alternatives
A01N47/08,Pesticide alternatives
A01N47/10,Pesticide alternatives
A01N47/12,Pesticide alternatives
A01N47/14,Pesticide alternatives
A01N47/16,Pesticide alternatives
A01N47/18,Pesticide alternatives
A01N47/20,Pesticide alternatives
A01N47/22,Pesticide alternatives
A01N47/24,Pesticide alternatives
A01N47/26,Pesticide alternatives
A01N47/28,Pesticide alternatives
A01N47/30,Pesticide alternatives
A01N47/32,Pesticide alternatives
A01N47/34,Pesticide alternatives
A01N47/36,Pesticide alternatives
A01N47/38,Pesticide alternatives
A01N47/40,Pesticide alternatives
A01N47/42,Pesticide alternatives
A01N47/44,Pesticide alternatives
A01N47/46,Pesticide alternatives
A01N47/48,Pesticide alternatives
A01N49/00,Pesticide alternatives
A01N51/00,Pesticide alternatives
A01N53/00,Pesticide alternatives
A01N53/02,Pesticide alternatives
A01N53/04,Pesticide alternatives
A01N53/06,Pesticide alternatives
A01N53/08,Pesticide alternatives
A01N53/10,Pesticide alternatives
A01N53/12,Pesticide alternatives
A01N53/14,Pesticide alternatives
A01N55/00,Pesticide alternatives
A01N55/02,Pesticide alternatives
A01N55/04,Pesticide alternatives
A01N55/06,Pesticide alternatives
A01N55/08,Pesticide alternatives
A01N55/10,Pesticide alternatives
A01N57/00,Pesticide alternatives
A01N57/02,Pesticide alternatives
A01N57/04,Pesticide alternatives
A01N57/06,Pesticide alternatives
A01N57/08,Pesticide alternatives
A01N57/10,Pesticide alternatives
A01N57/12,Pesticide alternatives
A01N57/14,Pesticide alternatives
A01N57/16,Pesticide alternatives
A01N57/18,Pesticide alternatives
A01N57/20,Pesticide alternatives
A01N57/22,Pesticide alternatives
A01N57/24,Pesticide alternatives
A01N57/26,Pesticide alternatives
A01N57/28,Pesticide alternatives
A01N57/30,Pesticide alternatives
A01N57/32,Pesticide alternatives
A01N57/34,Pesticide alternatives
A01N57/36,Pesticide alternatives
A01N59/00,Pesticide alternatives
A01N59/02,Pesticide alternatives
A01N59/04,Pesticide alternatives
A01N59/06,Pesticide alternatives
A01N59/08,Pesticide alternatives
A01N59/10,Pesticide alternatives
A01N59/12,Pesticide alternatives
A01N59/14,Pesticide alternatives
A01N59/16,Pesticide alternatives
A01N59/18,Pesticide alternatives
A01N59/20,Pesticide alternatives
A01N59/22,Pesticide alternatives
A01N59/24,Pesticide alternatives
A01N59/26,Pesticide alternatives
A01N61/00,Pesticide alternatives
A01N61/02,Pesticide alternatives
A01N63/00,Pesticide alternatives
A01N63/02,Pesticide alternatives
A01N63/04,Pesticide alternatives
A01N63/10,Pesticide alternatives
A01N63/12,Pesticide alternatives
A01N63/14,Pesticide alternatives
A01N63/16,Pesticide alternatives
A01N63/20,Pesticide alternatives
A01N63/22,Pesticide alternatives
A01N63/23,Pesticide alternatives
A01N63/25,Pesticide alternatives
A01N63/27,Pesticide alternatives
A01N63/28,Pesticide alternatives
A01N63/30,Pesticide alternatives
A01N63/32,Pesticide alternatives
A01N63/34,Pesticide alternatives
A01N63/36,Pesticide alternatives
A01N63/38,Pesticide alternatives
A01N63/40,Pesticide alternatives
A01N63/50,Pesticide alternatives
A01N63/60,Pesticide alternatives
A01N65/00,Pesticide alternatives
A43B1/12,Use of rubber waste in footwear
A43B21/14,Use of rubber waste in footwear
A61L11/00,Disinfection or sterilisation
A62D101/00,Treatment of hazardous or toxic waste
A62D3/00,Treatment of hazardous or toxic waste
A62D3/02,Anaerobic digestion of industrial waste
B01D45/00,Separating dispersed particles from gases or vapours
B01D45/02,Separating dispersed particles from gases or vapours
B01D45/04,Separating dispersed particles from gases or vapours
B01D45/06,Separating dispersed particles from gases or vapours
B01D45/08,Separating dispersed particles from gases or vapours
B01D45/10,Separating dispersed particles from gases or vapours
B01D45/12,Separating dispersed particles from gases or vapours
B01D45/14,Separating dispersed particles from gases or vapours
B01D45/16,Separating dispersed particles from gases or vapours
B01D45/18,Separating dispersed particles from gases or vapours
B01D46/00,Separating dispersed particles from gases or vapours
B01D46/02,Separating dispersed particles from gases or vapours
B01D46/04,Separating dispersed particles from gases or vapours
B01D46/06,Separating dispersed particles from gases or vapours
B01D46/08,Separating dispersed particles from gases or vapours
B01D46/10,Separating dispersed particles from gases or vapours
B01D46/12,Separating dispersed particles from gases or vapours
B01D46/14,Separating dispersed particles from gases or vapours
B01D46/16,Separating dispersed particles from gases or vapours
B01D46/18,Separating dispersed particles from gases or vapours
B01D46/20,Separating dispersed particles from gases or vapours
B01D46/22,Separating dispersed particles from gases or vapours
B01D46/24,Separating dispersed particles from gases or vapours
B01D46/26,Separating dispersed particles from gases or vapours
B01D46/28,Separating dispersed particles from gases or vapours
B01D46/30,Separating dispersed particles from gases or vapours
B01D46/32,Separating dispersed particles from gases or vapours
B01D46/34,Separating dispersed particles from gases or vapours
B01D46/36,Separating dispersed particles from gases or vapours
B01D46/38,Separating dispersed particles from gases or vapours
B01D46/40,Separating dispersed particles from gases or vapours
B01D46/42,Separating dispersed particles from gases or vapours
B01D46/44,Separating dispersed particles from gases or vapours
B01D46/46,Separating dispersed particles from gases or vapours
B01D46/48,Separating dispersed particles from gases or vapours
B01D46/50,Separating dispersed particles from gases or vapours
B01D46/52,Separating dispersed particles from gases or vapours
B01D46/54,Separating dispersed particles from gases or vapours
B01D47/00,Separating dispersed particles from gases or vapours
B01D47/02,Separating dispersed particles from gases or vapours
B01D47/04,Separating dispersed particles from gases or vapours
B01D47/05,Separating dispersed particles from gases or vapours
B01D47/06,Separating dispersed particles from gases or vapours
B01D47/08,Separating dispersed particles from gases or vapours
B01D47/10,Separating dispersed particles from gases or vapours
B01D47/12,Separating dispersed particles from gases or vapours
B01D47/14,Separating dispersed particles from gases or vapours
B01D47/16,Separating dispersed particles from gases or vapours
B01D47/18,Separating dispersed particles from gases or vapours
B01D49/00,Separating dispersed particles from gases or vapours
B01D49/02,Separating dispersed particles from gases or vapours
B01D50/00,Separating dispersed particles from gases or vapours
B01D51/00,Separating dispersed particles from gases or vapours
B01D53/00,Treatment of waste gases
B01D53/02,Separation of components
B01D53/04,Separation of components
B01D53/047,Separation of components
B01D53/053,Treatment of waste gases
B01D53/06,Treatment of waste gases
B01D53/08,Treatment of waste gases
B01D53/10,Treatment of waste gases
B01D53/12,Treatment of waste gases
B01D53/14,Carbon capture and storage
B01D53/18,Treatment of waste gases
B01D53/22,Carbon capture and storage
B01D53/24,Separation of components
B01D53/26,Treatment of waste gases
B01D53/28,Treatment of waste gases
B01D53/30,Treatment of waste gases
B01D53/32,Treatment of waste gases
B01D53/34,Treatment of waste gases
B01D53/38,Treatment of waste gases
B01D53/40,Treatment of waste gases
B01D53/42,Treatment of waste gases
B01D53/44,Treatment of waste gases
B01D53/46,Treatment of waste gases
B01D53/48,Treatment of waste gases
B01D53/50,Treatment of waste gases
B01D53/52,Treatment of waste gases
B01D53/54,Treatment of waste gases
B01D53/56,Treatment of waste gases
B01D53/58,Treatment of waste gases
B01D53/60,Treatment of waste gases
B01D53/62,Carbon capture and storage
B01D53/64,Treatment of waste gases
B01D53/66,Treatment of waste gases
B01D53/68,Treatment of waste gases
B01D53/70,Treatment of waste gases
B01D53/72,Treatment of waste gases
B01D53/73,Treatment of waste gases
B01D53/74,Treatment of waste gases
B01D53/75,Treatment of waste gases
B01D53/76,Treatment of waste gases
B01D53/77,Treatment of waste gases
B01D53/78,Treatment of waste gases
B01D53/79,Treatment of waste gases
B01D53/80,Treatment of waste gases
B01D53/81,Treatment of waste gases
B01D53/82,Treatment of waste gases
B01D53/83,Treatment of waste gases
B01D53/84,Treatment of waste gases
B01D53/85,Treatment of waste gases
B01D53/86,Treatment of waste gases
B01D53/88,Treatment of waste gases
B01D53/90,Treatment of waste gases
B01D53/92,Rendering exhaust gases innocuous
B01D53/94,Treatment of waste gases
B01D53/96,Treatment of waste gases
B03B9/06,Refuse separation
B03C3/00,Separating dispersed particles from gases or vapours
B09B,Landfill gas
B09B3/00,Chemical waste
B09C,Reclamation of contaminated soil
B22F8/00,Manufacture of articles from waste metal particles
B29B17/00,Recovery of plastics materials from waste
B60K16/00,"Power supply from force of nature, e.g. sun, wind"
B60K6/00,"Hybrid vehicles, e.g. Hybrid Electric Vehicles (HEVs)"
B60K6/10,Chargeable mechanical accumulators in vehicles
B60K6/20,"Hybrid vehicles, e.g. Hybrid Electric Vehicles (HEVs)"
B60K6/28,Storage of electrical energy
B60K6/30,Chargeable mechanical accumulators in vehicles
B60L3/00,Measurement of electricity consumption
B60L50/30,Chargeable mechanical accumulators in vehicles
B60L50/50,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/51,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/52,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/53,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/60,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/61,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/62,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/64,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/70,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/71,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/72,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/75,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L50/90,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/00,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/10,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/12,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/122,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/124,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/126,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/14,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/16,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/18,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/20,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/22,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/24,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/30,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/302,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/31,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/34,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/35,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/36,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/37,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/38,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/39,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/50,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/51,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/52,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/53,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/54,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/55,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/56,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/57,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/60,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/62,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/63,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/64,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/65,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/66,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/67,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/68,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L53/80,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L55/00,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/00,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/10,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/12,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/13,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/14,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/15,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/16,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/18,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/19,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/20,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/21,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/22,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/24,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/25,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/26,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/27,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/30,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/31,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/32,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/33,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/34,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L58/40,"With power supply from fuel cells, e.g. for hydrogen vehicles"
B60L7/10,Regenerative braking systems
B60L7/12,Regenerative braking systems
B60L7/14,Regenerative braking systems
B60L7/16,Regenerative braking systems
B60L7/18,Regenerative braking systems
B60L7/20,Regenerative braking systems
B60L7/22,Regenerative braking systems
B60L8/00,Electric propulsion of vehicles using solar power
B60L9/00,Electric propulsion with power supply external to vehicle
B60W10/26,Storage of electrical energy
B60W20/00,Control systems
B61,Rail vehicles
B61D17/02,Drag reduction
B62D35/00,Drag reduction
B62D35/02,Drag reduction
B62D67/00,Disassembly of vehicles for recovery of salvageable parts
B62K,Human-powered vehicle
B62M1/00,Human-powered vehicle
B62M3/00,Human-powered vehicle
B62M5/00,Human-powered vehicle
B62M6/00,Human-powered vehicle
B63B1/34,Drag reduction
B63B1/36,Drag reduction
B63B1/38,Drag reduction
B63B1/40,Drag reduction
B63B35/00,Structural aspects of wind turbines
B63B35/32,Removing pollutants from open water
B63H13/00,Propulsion by wind-powered motors
B63H16/00,Propulsion by muscle power
B63H19/02,Propulsion of marine vessels using energy derived from water movement
B63H19/04,Propulsion of marine vessels using energy derived from water movement
B63H21/18,Propulsion derived from nuclear energy
B63H9/00,Propulsive devices directly acted on by wind
B63J4/00,Treating waste-water or sewage
B64G1/44,Cosmonautic vehicles using solar energy
B65F,Waste disposal
B65G5/00,Carbon capture and storage
C01B32/50,Carbon capture and storage
C01B33/02,Silicon; single-crystal growth
C02F,Treating waste-water or sewage
C02F1/00,Management of sewage
C02F1/14,"For treatment of water, waste water or sludge"
C02F1/16,"For treatment of water, waste water or sewage"
C02F11/04,Anaerobic digestion of industrial waste
C02F11/14,Anaerobic digestion of industrial waste
C02F3/00,Management of sewage
C02F3/28,Biogas
C02F9/00,Management of sewage
C04B18/04,"Use of waste materials as fillers for mortars, concrete"
C04B18/06,"Use of waste materials as fillers for mortars, concrete"
C04B18/08,"Use of waste materials as fillers for mortars, concrete"
C04B18/10,"Use of waste materials as fillers for mortars, concrete"
C04B7/24,Production of hydraulic cements from waste materials
C04B7/26,Production of hydraulic cements from waste materials
C04B7/28,Production of hydraulic cements from waste materials
C04B7/30,Production of hydraulic cements from waste materials
C05F,Organic fertilisers derived from waste
C05F7/00,To produce fertilisers
C07C67/00,Biodiesel
C07C69/00,Biodiesel
C08J11/00,Recovery or working-up of waste materials
C08J11/02,Recovery or working-up of waste materials
C08J11/04,Of polymers
C08J11/06,Of polymers
C08J11/08,Of polymers
C08J11/10,Of polymers
C08J11/12,Of polymers
C08J11/14,Of polymers
C08J11/16,Of polymers
C08J11/18,Of polymers
C08J11/20,Of polymers
C08J11/22,Of polymers
C08J11/24,Of polymers
C08J11/26,Of polymers
C08J11/28,Of polymers
C09K11/01,Recovery or working-up of waste materials
C09K17/00,Soil improvement
C09K3/22,Dust-laying or dust-absorbing materials
C09K3/32,Materials for treating liquid pollutants
C09K5/00,Storage of thermal energy
C10B21/18,Combustion apparatus using recirculation of flue gases
C10B53/00,Pyrolysis or gasification of biomass
C10B53/02,Torrefaction of biomass
C10G,Biodiesel
C10G1/10,Production of liquid hydrocarbons from rubber waste
C10J,Pyrolysis or gasification of biomass
C10J3/02,Gasification
C10J3/46,Gasification
C10J3/86,Of gasification plants
C10L1/00,Liquid fuels
C10L1/02,Biodiesel
C10L1/14,Liquid fuels
C10L1/182,Bioethanol
C10L1/19,Biodiesel
C10L10/02,Use of additives in fuels or fires to reduce smoke or facilitate soot removal
C10L10/06,Use of additives in fuels or fires to reduce smoke or facilitate soot removal
C10L3/00,Biogas
C10L5/00,Agricultural waste
C10L5/40,Solid fuels
C10L5/42,Fuel from animal waste and crop residues
C10L5/44,Fuel from animal waste and crop residues
C10L5/46,Municipal waste
C10L5/48,Industrial waste
C10L9/00,Torrefaction of biomass
C11B11/00,Recovery or working-up of waste materials
C11B13/00,Recovery or working-up of waste materials
C11B13/02,Recovery or working-up of waste materials
C11B13/04,Recovery or working-up of waste materials
C11C3/10,Biodiesel
C12M1/107,Biogas
C12N1/13,From genetically engineered organisms
C12N1/15,From genetically engineered organisms
C12N1/21,From genetically engineered organisms
C12N15/00,From genetically engineered organisms
C12N5/10,From genetically engineered organisms
C12N9/24,Bioethanol
C12P5/02,Biogas
C12P7/06,Bioethanol
C12P7/08,Bioethanol
C12P7/10,Bioethanol
C12P7/12,Bioethanol
C12P7/14,Bioethanol
C12P7/649,Biodiesel
C14C3/32,Recovery or working-up of waste materials
C21B3/04,Recovery or working-up of waste materials
C21B5/06,Using top gas in blast furnaces to power pig-iron production
C21B7/22,Dust removal from furnaces
C21C5/38,Dust removal from furnaces
C22B19/30,Obtaining metals from scrap
C22B25/06,Obtaining metals from scrap
C22B7/00,Obtaining metals from scrap
C22B7/02,Obtaining metals from scrap
C22B7/04,Obtaining metals from scrap
C23C14/14,Silicon; single-crystal growth
C23C16/24,Silicon; single-crystal growth
C25C1/00,Recovery or working-up of waste materials
C30B29/06,Silicon; single-crystal growth
D01F13/00,Recovery or working-up of waste materials
D01F13/02,Recovery or working-up of waste materials
D01F13/04,Recovery or working-up of waste materials
D01G11/00,Disintegrating fibrous materials for reuse
D21B1/08,Mechanical treatment of waste paper
D21B1/32,Mechanical treatment of waste paper
D21C11/00,Pulp liquors
D21C5/02,Working-up waste paper to obtain cellulose
D21F5/20,Recovery of waste heat in paper production
E02B15/04,Removing pollutants from open water
E02B9/00,Water-power plants
E02B9/02,Water-power plants
E02B9/04,Water-power plants
E02B9/06,Water-power plants
E02B9/08,Tide or wave power plants
E02D3/00,Soil improvement
E03C1/12,Plumbing installations for waste water
E03F,Management of sewage
E04B1/62,"Thermal building insulation, in general"
E04B1/74,"Thermal building insulation, in general"
E04B1/76,"Thermal building insulation, in general"
E04B1/78,"Thermal building insulation, in general"
E04B1/80,"Thermal building insulation, in general"
E04B1/88,"Thermal building insulation, in general"
E04B1/90,"Thermal building insulation, in general"
E04B2/00,For walls
E04B5/00,For floors
E04B7/00,For roofs
E04B9/00,For ceilings
E04C1/40,Insulating building elements
E04C1/41,Insulating building elements
E04C2/284,Insulating building elements
E04C2/288,Insulating building elements
E04C2/292,Insulating building elements
E04C2/296,Insulating building elements
E04D1/28,For roofs
E04D13/00,Roof covering aspects of energy collecting devices
E04D13/16,For roofs
E04D13/18,Roof covering aspects of energy collecting devices
E04D3/35,For roofs
E04F13/08,For ceilings
E04F15/18,For floors
E04H1/00,Static structure design
E04H12/00,Structural aspects of wind turbines
E06B3/263,For door or window openings
E21B41/00,Carbon capture and storage
