A01G23/00,Forestry techniques
E21B43/16,Carbon capture and storage
E21F17/16,Carbon capture and storage
F01K,Use of geothermal heat
F01K17/00,Of steam engine plants
F01K23/04,Of steam engine plants
F01K23/06,Of combustion engines
F01K23/08,Of combustion engines
F01K23/10,Of combustion engines
F01K27/00,To produce mechanical energy
F01N3/00,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/01,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/02,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/021,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/022,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/023,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/025,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/027,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/028,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/029,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/031,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/032,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/033,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/035,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/037,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/038,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/04,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/05,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/06,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/08,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/10,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/18,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/20,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/22,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/24,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/26,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/28,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/30,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/32,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/34,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/36,Exhaust apparatus for combustion engines with means for treating exhaust
F01N3/38,Exhaust apparatus for combustion engines with means for treating exhaust
F01N5/00,Of combustion engines
F01N9/00,Electrical control of exhaust gas treating apparatus
F02B43/00,"Combustion engines operating on gaseous fuels, e.g. hydrogen"
F02B75/10,Rendering exhaust gases innocuous
F02C1/05,Gas turbine power plants using heat source of nuclear origin
F02C3/28,Integrated gasification combined cycle (IGCC)
F02C6/18,Of gas-turbine plants
F02G5/00,Of combustion engines
F02G5/02,Of combustion engines
F02G5/04,Of combustion engines
F02M21/02,"Combustion engines operating on gaseous fuels, e.g. hydrogen"
F02M27/02,"Combustion engines operating on gaseous fuels, e.g. hydrogen"
F03B,Machines or engines for liquids
F03B13/12,Using wave or tide energy
F03B13/14,Using wave or tide energy
F03B13/16,Using wave or tide energy
F03B13/18,Using wave or tide energy
F03B13/20,Using wave or tide energy
F03B13/22,Using wave or tide energy
F03B13/24,Using wave or tide energy
F03B13/26,Using wave or tide energy
F03B15/00,"Regulating, controlling or safety means of machines or engines"
F03B15/02,"Regulating, controlling or safety means of machines or engines"
F03B15/04,"Regulating, controlling or safety means of machines or engines"
F03B15/06,"Regulating, controlling or safety means of machines or engines"
F03B15/08,"Regulating, controlling or safety means of machines or engines"
F03B15/10,"Regulating, controlling or safety means of machines or engines"
F03B15/12,"Regulating, controlling or safety means of machines or engines"
F03B15/14,"Regulating, controlling or safety means of machines or engines"
F03B15/16,"Regulating, controlling or safety means of machines or engines"
F03B15/18,"Regulating, controlling or safety means of machines or engines"
F03B15/20,"Regulating, controlling or safety means of machines or engines"
F03B15/22,"Regulating, controlling or safety means of machines or engines"
F03C,Machines or engines for liquids
F03D,Wind energy
F03D1/04,Solar updraft towers
F03D13/00,Structural aspects of wind turbines
F03D13/20,Solar updraft towers
F03D9/00,Solar updraft towers
F03G4/00,Production of mechanical power from geothermal energy
F03G4/02,Production of mechanical power from geothermal energy
F03G4/04,Production of mechanical power from geothermal energy
F03G4/06,Production of mechanical power from geothermal energy
F03G5/00,Devices for producing mechanical power from muscle energy
F03G5/02,Devices for producing mechanical power from muscle energy
F03G5/04,Devices for producing mechanical power from muscle energy
F03G5/06,Devices for producing mechanical power from muscle energy
F03G5/08,Devices for producing mechanical power from muscle energy
F03G6/00,Producing mechanical power from solar energy
F03G6/02,Producing mechanical power from solar energy
F03G6/04,Producing mechanical power from solar energy
F03G6/06,Producing mechanical power from solar energy
F03G7/04,Production of mechanical power from geothermal energy
F03G7/05,Ocean thermal energy conversion (OTEC)
F03G7/08,Recovering mechanical energy
F16H3/00,Gearings therefor
F16H3/02,Gearings therefor
F16H3/04,Gearings therefor
F16H3/06,Gearings therefor
F16H3/08,Gearings therefor
F16H3/083,Gearings therefor
F16H3/085,Gearings therefor
F16H3/087,Gearings therefor
F16H3/089,Gearings therefor
F16H3/091,Gearings therefor
F16H3/093,Gearings therefor
F16H3/095,Gearings therefor
F16H3/097,Gearings therefor
F16H3/10,Gearings therefor
F16H3/12,Gearings therefor
F16H3/14,Gearings therefor
F16H3/16,Gearings therefor
F16H3/18,Gearings therefor
F16H3/20,Gearings therefor
F16H3/22,Gearings therefor
F16H3/24,Gearings therefor
F16H3/26,Gearings therefor
F16H3/28,Gearings therefor
F16H3/30,Gearings therefor
F16H3/32,Gearings therefor
F16H3/34,Gearings therefor
F16H3/36,Gearings therefor
F16H3/38,Gearings therefor
F16H3/40,Gearings therefor
F16H3/42,Gearings therefor
F16H3/44,Gearings therefor
F16H3/46,Gearings therefor
F16H3/48,Gearings therefor
F16H3/50,Gearings therefor
F16H3/52,Gearings therefor
F16H3/54,Gearings therefor
F16H3/56,Gearings therefor
F16H3/58,Gearings therefor
F16H3/60,Gearings therefor
F16H3/62,Gearings therefor
F16H3/64,Gearings therefor
F16H3/66,Gearings therefor
F16H3/68,Gearings therefor
F16H3/70,Gearings therefor
F16H3/72,Gearings therefor
F16H3/74,Gearings therefor
F16H3/76,Gearings therefor
F16H3/78,Gearings therefor
F16H48/00,Gearings therefor
F16H48/02,Gearings therefor
F16H48/04,Gearings therefor
F16H48/05,Gearings therefor
F16H48/06,Gearings therefor
F16H48/08,Gearings therefor
F16H48/10,Gearings therefor
F16H48/11,Gearings therefor
F16H48/12,Gearings therefor
F16H48/14,Gearings therefor
F16H48/16,Gearings therefor
F16H48/18,Gearings therefor
F16H48/19,Gearings therefor
F16H48/20,Gearings therefor
F16H48/22,Gearings therefor
F16H48/24,Gearings therefor
F16H48/26,Gearings therefor
F16H48/27,Gearings therefor
F16H48/28,Gearings therefor
F16H48/285,Gearings therefor
F16H48/29,Gearings therefor
F16H48/295,Gearings therefor
F16H48/30,Gearings therefor
F21K99/00,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
F21L4/00,"Electric lighting devices with, or rechargeable with, solar cells"
F21L4/02,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
F21S9/03,"Electric lighting devices with, or rechargeable with, solar cells"
F22B1/00,Steam generation using solar heat
F22B1/02,For steam generation by exploitation of the heat content of hot heat carriers
F23B80/02,Combustion apparatus using recirculation of flue gases
F23B90/00,Gasification
F23C9/00,Combustion apparatus using recirculation of flue gases
F23G,Consuming waste by combustion
F23G5/00,Hospital waste
F23G5/027,Gasification
F23G5/46,Recuperation of heat energy from waste incineration
F23G7/00,Chemical waste
F23G7/06,Combustion of waste gases or noxious gases
F23G7/10,"Incinerators for field, garden or wood waste"
F23J15/00,Arrangements of devices for treating smoke or fumes from combustion apparatus
F23J7/00,Use of additives in fuels or fires to reduce smoke or facilitate soot removal
F24D11/00,For space heating
F24D11/02,Heat pumps in central heating systems using heat accumulated in storage masses
F24D15/04,Heat pumps in other domestic- or space-heating systems
F24D17/00,For domestic hot water systems
F24D17/02,Heat pumps in domestic hot-water supply systems
F24D18/00,For domestic hot water systems
F24D19/00,For space heating
F24D3/00,For space heating
F24D5/00,For space heating
F24F12/00,Energy recovery in air conditioning
F24F5/00,Use of geothermal heat
F24H4/00,Air or water heaters using heat pumps
F24H7/00,Storage of thermal energy
F24S,Solar energy
F24S10/10,Solar ponds
F24S23/00,Solar concentrators
F24S90/00,For swimming pools
F24T,Geothermal energy
F24T10/00,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/10,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/13,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/15,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/17,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/20,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/30,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T10/40,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24T50/00,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24V30/00,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24V40/00,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24V40/10,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F24V50/00,"Other production or use of heat, not derived from combustion, e.g. natural heat"
F25B27/00,Refrigeration or heat pump systems using solar energy
F25B27/02,As source of energy for refrigeration plants
F25B30/00,Heat pumps
F25B30/06,Use of geothermal heat
F25J3/02,Carbon capture and storage
F26B3/00,Use of solar energy for drying materials or objects
F26B3/28,Use of solar energy for drying materials or objects
F27B1/18,Dust removal from furnaces
F27B15/12,Dust removal from furnaces
F27D17/00,"Arrangements for using waste heat from furnaces, kilns, ovens or retorts"
F28D17/00,Regenerative heat-exchange apparatus
F28D17/02,Regenerative heat-exchange apparatus
F28D17/04,Regenerative heat-exchange apparatus
F28D19/00,Regenerative heat-exchange apparatus
F28D19/02,Regenerative heat-exchange apparatus
F28D19/04,Regenerative heat-exchange apparatus
F28D20/00,Regenerative heat-exchange apparatus
F28D20/02,Storage of thermal energy
G01R,Measurement of electricity consumption
G02B7/183,Solar concentrators
G05F1/67,Regulating to the maximum power available from solar cells
G06Q,"Carbon/emissions trading, e.g. pollution credits"
G08B21/12,Pollution alarms
G08G,"Commuting, e.g., HOV, teleworking, etc."
G21,Nuclear engineering
G21B,Fusion reactors
G21C,Nuclear (fission) reactors
G21C13/10,Means for preventing radioactive contamination in the event of reactor leakage
G21D,Nuclear power plant
G21F9/00,Treating radioactively contaminated material; decontamination arrangements therefor
H01G11/00,Storage of electrical energy
H01G9/20,Devices adapted for the conversion of radiation energy into electrical energy
H01J9/50,Reclaiming salvageable components or material from electric discharge tubes or lamps
H01J9/52,Reclaiming salvageable components or material from electric discharge tubes or lamps
H01L25/00,Assemblies of a plurality of solar cells
H01L25/03,Assemblies of a plurality of solar cells
H01L25/16,Assemblies of a plurality of solar cells
H01L25/18,Assemblies of a plurality of solar cells
H01L27/142,Devices adapted for the conversion of radiation energy into electrical energy
H01L27/30,Using organic materials as the active part
H01L31/00,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/02,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0203,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0216,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0224,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0232,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0236,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/024,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0248,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0256,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0264,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0272,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/028,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0288,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0296,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0304,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0312,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/032,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0328,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0336,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0352,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/036,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0368,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0376,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0384,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0392,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/04,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/041,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/042,Assemblies of a plurality of solar cells
H01L31/043,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/044,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0443,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0445,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/045,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/046,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0463,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0465,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0468,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/047,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0475,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/048,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/049,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/05,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/052,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0525,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/053,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/054,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/055,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/056,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/058,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/06,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/061,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/062,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/065,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/068,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0687,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0693,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/07,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/072,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0725,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/073,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0735,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/074,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0745,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0747,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/0749,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/075,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/076,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/077,Devices adapted for the conversion of radiation energy into electrical energy
H01L31/078,Devices adapted for the conversion of radiation energy into electrical energy
H01L33/00,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/02,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/04,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/06,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/08,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/10,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/12,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/14,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/16,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/18,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/20,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/22,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/24,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/26,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/28,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/30,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/32,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/34,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/36,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/38,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/40,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/42,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/44,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/46,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/48,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/50,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/52,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/54,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/56,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/58,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/60,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/62,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L33/64,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01L51/42,Using organic materials as the active part
H01L51/44,Using organic materials as the active part
H01L51/46,Using organic materials as the active part
H01L51/48,Using organic materials as the active part
H01L51/50,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
H01M10/44,Storage of electrical energy
H01M10/46,Storage of electrical energy
H01M10/54,"Reclaiming serviceable parts of waste cells, batteries or accumulators"
H01M12/00,Fuel cells
H01M12/02,Fuel cells
H01M12/04,Fuel cells
H01M12/06,Fuel cells
H01M12/08,Fuel cells
H01M14/00,Dye-sensitised solar cells (DSSC)
H01M4/86,Electrodes
H01M4/88,Electrodes
H01M4/90,Electrodes
H01M4/92,Electrodes
H01M4/94,Electrodes
H01M4/96,Electrodes
H01M4/98,Electrodes
H01M50/00,Non-active parts
H01M50/10,Non-active parts
H01M50/102,Non-active parts
H01M50/103,Non-active parts
H01M50/105,Non-active parts
H01M50/107,Non-active parts
H01M50/109,Non-active parts
H01M50/11,Non-active parts
H01M50/112,Non-active parts
H01M50/114,Non-active parts
H01M50/116,Non-active parts
H01M50/117,Non-active parts
H01M50/119,Non-active parts
H01M50/121,Non-active parts
H01M50/122,Non-active parts
H01M50/124,Non-active parts
H01M50/126,Non-active parts
H01M50/128,Non-active parts
H01M50/129,Non-active parts
H01M50/131,Non-active parts
H01M50/133,Non-active parts
H01M50/134,Non-active parts
H01M50/136,Non-active parts
H01M50/138,Non-active parts
H01M50/14,Non-active parts
H01M50/141,Non-active parts
H01M50/143,Non-active parts
H01M50/145,Non-active parts
H01M50/147,Non-active parts
H01M50/148,Non-active parts
H01M50/15,Non-active parts
H01M50/152,Non-active parts
H01M50/153,Non-active parts
H01M50/155,Non-active parts
H01M50/157,Non-active parts
H01M50/159,Non-active parts
H01M50/16,Non-active parts
H01M50/162,Non-active parts
H01M50/164,Non-active parts
H01M50/166,Non-active parts
H01M50/167,Non-active parts
H01M50/169,Non-active parts
H01M50/171,Non-active parts
H01M6/52,"Reclaiming serviceable parts of waste cells, batteries or accumulators"
H01M8/00,Fuel cells
H01M8/008,Fuel cells
H01M8/02,Fuel cells
H01M8/0202,Fuel cells
H01M8/0204,Fuel cells
H01M8/0206,Fuel cells
H01M8/0208,Fuel cells
H01M8/021,Fuel cells
H01M8/0213,Fuel cells
H01M8/0215,Fuel cells
H01M8/0217,Fuel cells
H01M8/0221,Fuel cells
H01M8/0223,Fuel cells
H01M8/0226,Fuel cells
H01M8/0228,Fuel cells
H01M8/023,Fuel cells
H01M8/0232,Fuel cells
H01M8/0234,Fuel cells
H01M8/0236,Fuel cells
H01M8/0239,Fuel cells
H01M8/0241,Fuel cells
H01M8/0243,Fuel cells
H01M8/0245,Fuel cells
H01M8/0247,Fuel cells
H01M8/025,Fuel cells
H01M8/0252,Fuel cells
H01M8/0254,Fuel cells
H01M8/0256,Fuel cells
H01M8/0258,Fuel cells
H01M8/026,Fuel cells
H01M8/0263,Fuel cells
H01M8/0265,Fuel cells
H01M8/0267,Fuel cells
H01M8/0271,Fuel cells
H01M8/0273,Fuel cells
H01M8/0276,Fuel cells
H01M8/028,Fuel cells
H01M8/0282,Fuel cells
H01M8/0284,Fuel cells
H01M8/0286,Fuel cells
H01M8/0289,Fuel cells
H01M8/0293,Fuel cells
H01M8/0295,Fuel cells
H01M8/0297,Fuel cells
H01M8/04,Fuel cells
H01M8/04007,Fuel cells
H01M8/04014,Fuel cells
H01M8/04029,Fuel cells
H01M8/04044,Fuel cells
H01M8/04082,Fuel cells
H01M8/04089,Fuel cells
H01M8/04111,Fuel cells
H01M8/04119,Fuel cells
H01M8/04186,Fuel cells
H01M8/04223,Fuel cells
H01M8/04225,Fuel cells
H01M8/04228,Fuel cells
H01M8/04276,Fuel cells
H01M8/04291,Fuel cells
H01M8/04298,Fuel cells
H01M8/043,Fuel cells
H01M8/04302,Fuel cells
H01M8/04303,Fuel cells
H01M8/04313,Fuel cells
H01M8/0432,Fuel cells
H01M8/0438,Fuel cells
H01M8/0444,Fuel cells
H01M8/04492,Fuel cells
H01M8/04537,Fuel cells
H01M8/04664,Fuel cells
H01M8/04694,Fuel cells
H01M8/04701,Fuel cells
H01M8/04746,Fuel cells
H01M8/04791,Fuel cells
H01M8/04828,Fuel cells
H01M8/04858,Fuel cells
H01M8/04955,Fuel cells
H01M8/04992,Fuel cells
H01M8/06,Fuel cells
H01M8/0606,Fuel cells
H01M8/0612,Fuel cells
H01M8/0637,Fuel cells
H01M8/065,Fuel cells
H01M8/0656,Fuel cells
H01M8/0662,Fuel cells
H01M8/0668,Fuel cells
H01M8/08,Fuel cells
H01M8/083,Fuel cells
H01M8/086,Fuel cells
H01M8/10,Fuel cells
H01M8/1004,Fuel cells
H01M8/1006,Fuel cells
H01M8/1007,Fuel cells
H01M8/1009,Fuel cells
H01M8/1011,Fuel cells
H01M8/1016,Fuel cells
H01M8/1018,Fuel cells
H01M8/102,Fuel cells
H01M8/1023,Fuel cells
H01M8/1025,Fuel cells
H01M8/1027,Fuel cells
H01M8/103,Fuel cells
H01M8/1032,Fuel cells
H01M8/1034,Fuel cells
H01M8/1037,Fuel cells
H01M8/1039,Fuel cells
H01M8/1041,Fuel cells
H01M8/1044,Fuel cells
H01M8/1046,Fuel cells
H01M8/1048,Fuel cells
H01M8/1051,Fuel cells
H01M8/1053,Fuel cells
H01M8/1058,Fuel cells
H01M8/106,Fuel cells
H01M8/1062,Fuel cells
H01M8/1065,Fuel cells
H01M8/1067,Fuel cells
H01M8/1069,Fuel cells
H01M8/1072,Fuel cells
H01M8/1081,Fuel cells
H01M8/1086,Fuel cells
H01M8/1088,Fuel cells
H01M8/1097,Fuel cells
H01M8/12,Fuel cells
H01M8/1213,Fuel cells
H01M8/122,Fuel cells
H01M8/1226,Fuel cells
H01M8/1231,Fuel cells
H01M8/1233,Fuel cells
H01M8/124,Fuel cells
H01M8/1246,Fuel cells
H01M8/1253,Fuel cells
H01M8/126,Fuel cells
H01M8/1286,Fuel cells
H01M8/14,Fuel cells
H01M8/16,Fuel cells
H01M8/18,Fuel cells
H01M8/20,Fuel cells
H01M8/22,Fuel cells
H01M8/24,Fuel cells
H02J,Power supply circuitry
H02J15/00,Storage of electrical energy
H02J3/28,Storage of electrical energy
H02J7/00,Charging stations for electric vehicles
H02J7/35,Charging batteries
H02J9/00,With power saving modes
H02K29/08,Brushless motors
H02K49/10,Electromagnetic clutches
H02K7/18,Structural association of electric generator with mechanical driving motor
H02N10/00,Use of geothermal heat
H02S,Solar energy
H02S10/00,Devices adapted for the conversion of radiation energy into electrical energy
H02S40/44,Hybrid solar thermal-PV systems
H05B33/00,"Electroluminescent light sources (e.g. LEDs, OLEDs, PLEDs)"
